raw_title,raw_description,price,currency,without_dds,offer_type,property_type,city,neighborhood,contact_info,agency,agency_url,details_url,num_photos,date_time_added,search_url,site,total_offers,ref_no,time,price_per_m2,area,floor
"Central Park - 7 сгради с 12 дка парк. Сгради А, Б и В получиха АКТ 16!","Модерни сгради, простор, зеленина и гледки, които ви оставят без дъх! Една бъдеща емблема на столицата, която ще внесе нов стандарт за качество на живот.

Central Park - твоят Ню Йорк в София!

Сгради А, Б и В получиха Акт 16!
 
Независимо дали става въпрос за структурни",185874.0,EUR,False,,,София,"кв. ""Банишора""",,,,https://www.bulgarianproperties.bg/imoti-apartamenti/imot-77779-apartamenti-za-prodajba-v-sofiya.html,0,2026-01-23 22:36:06.765222,,bulgarianproperties,0,,,,187.57,
"AMur Gardens - висок клас комплекс със зеленина, детска площадка и магазини в Костинброд","Домът, който наистина заслужавате!  

AМur Gardens е повече от място за живеене – това е начин на живот, който съчетава комфорт, качество и удобства. Това е вашият дом – в малък град близо до динамиката на столицата. Инвестирайте в бъдещето си още днес!  

Уникален комплекс с",69900.0,EUR,False,,,Близо до гр. София,BILLA,,,,https://www.bulgarianproperties.bg/imoti-apartamenti/imot-82112-apartamenti-za-prodajba-blizo-do-sofiya.html,0,2026-01-23 22:36:06.767896,,bulgarianproperties,0,,,,174.88,
SKY TOWERS by AMur — новият архитектурен символ на София,"Sky Towers by AMur е проект от най-висок клас, създаден да се превърне в новата визитна картичка на модерна София. Извисяващи се над града, две емблематични сгради комбинират изцяло остъклени фасади, елегантни линии и впечатляваща вертикална динамика, които създават усещането за",243882.0,EUR,False,,,София,"кв. ""Манастирски ливади""",,,,https://www.bulgarianproperties.bg/imoti-apartamenti/imot-82111-apartamenti-za-prodajba-v-sofiya.html,0,2026-01-23 22:36:06.770493,,bulgarianproperties,0,,,,202.24,
SYNERA Residence - най-новият комплекс в кв. Манастирски ливади - Изток,"Synera Residence – дом, където динамичният градски начин на живот среща красотата и спокойствието на Витоша. Разположен в кв. Манастирски ливади – Изток, този проект ви дава възможността да живеете само на минути от центъра на София, без да се отказвате от свежия въздух и",130000.0,EUR,False,,,София,"кв. ""Манастирски ливади""",,,,https://www.bulgarianproperties.bg/imoti-apartamenti/imot-87185-apartamenti-za-prodajba-v-sofiya.html,0,2026-01-23 22:36:06.773037,,bulgarianproperties,0,,,,208.03,
"Нов ексклузивен жилищен проект в София – Corner Park, кв. Сухата река","Представяме ви Corner Park – нов ексклузивен жилищен комплекс в кв. Сухата река, разположен в един от най-перспективните райони на София, над гара Подуяне и на пешеходно разстояние от бул. „Мадрид“ и бул. „Ситняково“.

Проектът съчетава модерен градски дизайн, висок стандарт на",98538.0,EUR,False,,,София,"кв. ""Сухата река""",,,,https://www.bulgarianproperties.bg/imoti-apartamenti/imot-87778-apartamenti-za-prodajba-v-sofiya.html,0,2026-01-23 22:36:06.775485,,bulgarianproperties,0,,,,249.28,
Стилен нов проект в Малинова долина – модерно жилище в приятна жилищна зона,"Твоят нов дом в една от най-перспективните жилищни зони на София – Малинова долина. Просторен, функционален, изцяло ориентиран към нуждите и очакванията за комфорт и сигурност на модерния човек в столицата.

С удоволствие ви представяме най-новото бижу в динамично развиващия се",134500.0,EUR,False,,,София,"кв. ""Малинова долина""",,,,https://www.bulgarianproperties.bg/imoti-apartamenti/imot-87833-apartamenti-za-prodajba-v-sofiya.html,0,2026-01-23 22:36:06.777932,,bulgarianproperties,0,,,,143.95,
Нова сграда със само 16 апартамента в кв. Манастирски ливади – изток,"Светли и просторни апартаменти в нов, жилищен проект, намиращ се в престижния квартал „Манастирски ливади-изток“. Сградата ще се отличава с елегантна архитектура, модерна фасада, качествено изпълнение, бърз достъп до центъра на града. Комуникативен район с добра инфраструктура, с",234253.0,EUR,False,,,София,"кв. ""Манастирски ливади""",,,,https://www.bulgarianproperties.bg/imoti-apartamenti/imot-80045-apartamenti-za-prodajba-v-sofiya.html,0,2026-01-23 22:36:06.780352,,bulgarianproperties,0,,,,186.86,
Луксозен комплекс от две сгради Green View Apartments в кв. Княжево - с АКТ 16,"Търсите жилище от висок клас с удобна локация в столицата, даваща възможност за бърз достъп до централните части на града, но и да се насладите на спокойствието и зеленината на планината? Имаме удоволствието да ви предложим за продажба апартаменти ново строителство в комплекс от",210000.0,EUR,False,,,София,"кв. ""Княжево""",,,,https://www.bulgarianproperties.bg/imoti-apartamenti/imot-80315-apartamenti-za-prodajba-v-sofiya.html,0,2026-01-23 22:36:06.782799,,bulgarianproperties,0,,,,268.82,
Reina Sofia Residence - висок клас сграда енергиен клас А близо до Зоопарк София и Ловен парк,"Топ локация с изглед към Витоша и бърз достъп до удобен транспорт, спортни центрове, търговски център, болници, паркове, училища и др. Сградата е решена 11 етажа с уникални апартаменти в 3 типа - двустаен, тристаен и четиристаен. За покупка се предлагат последните два магазина на",136000.0,EUR,False,,,София,"кв. ""Кръстова вада""",,,,https://www.bulgarianproperties.bg/imoti-apartamenti/imot-77806-apartamenti-za-prodajba-v-sofiya.html,0,2026-01-23 22:36:06.785178,,bulgarianproperties,0,,,,139.88,
Нов жилищен проект в кв. Малинова долина  с Акт 14,"Не пропускайте възможността да изберете имот с изключително качество в Малинова долина - сграда Lux Building 9, в процес на изграждане!

Последни апартаменти, гаражи и паркоместа!
 
Представяме на вашето внимание проект със стилен дизайн в кв. Малинова долина, проектирани в",310000.0,EUR,False,,,София,"кв. ""Малинова долина""",,,,https://www.bulgarianproperties.bg/imoti-apartamenti/imot-85403-apartamenti-za-prodajba-v-sofiya.html,0,2026-01-23 22:36:06.787587,,bulgarianproperties,0,,,,191.62,
